diario,secc,orga,encabezado,fecha_mensaje,numdoc,texto_integro,fecha,cve,mensaje,seri,ndia,subi,url,term
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-10.PDF,CONGRESO,Pleno,DS,de 19/02/2020,10,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-10.CODI.#1,20200219,DSCD-14-PL-10,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 10,",Pleno y Diputación Permanente ,10,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-10,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-20.PDF,CONGRESO,Pleno,DS,de 29/04/2020,20,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-20.CODI.#1,20200429,DSCD-14-PL-20,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 20,",Pleno y Diputación Permanente ,20,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-20,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-14.PDF,CONGRESO,Pleno,DS,de 27/02/2020,14,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-14.CODI.#1,20200227,DSCD-14-PL-14,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 14,",Pleno y Diputación Permanente ,14,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-14,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-13.PDF,CONGRESO,Pleno,DS,de 26/02/2020,13,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-13.CODI.#1,20200226,DSCD-14-PL-13,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 13,",Pleno y Diputación Permanente ,13,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-13,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-12.PDF,CONGRESO,Pleno,DS,de 25/02/2020,12,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-12.CODI.#1,20200225,DSCD-14-PL-12,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 12,",Pleno y Diputación Permanente ,12,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-12,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-11.PDF,CONGRESO,Pleno,DS,de 20/02/2020,11,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-11.CODI.#1,20200220,DSCD-14-PL-11,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 11,",Pleno y Diputación Permanente ,11,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-11,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-9.PDF,CONGRESO,Pleno,DS,de 18/02/2020,9,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-9.CODI.#1,20200218,DSCD-14-PL-9,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 9,",Pleno y Diputación Permanente ,9,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-9,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-18.PDF,CONGRESO,Pleno,DS,de 15/04/2020,18,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-18.CODI.#1,20200415,DSCD-14-PL-18,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 18,",Pleno y Diputación Permanente ,18,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-18,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-8.PDF,CONGRESO,Pleno,DS,de 12/02/2020,8,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-8.CODI.#1,20200212,DSCD-14-PL-8,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 8,",Pleno y Diputación Permanente ,8,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-8,XIV
/public_oficiales/L14/CONG/DS/PL/DSCD-14-PL-17.PDF,CONGRESO,Pleno,DS,de 09/04/2020,17,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU14&PIECE=PUWD&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-14-PL-17.CODI.#1,20200409,DSCD-14-PL-17,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 17,",Pleno y Diputación Permanente ,17,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XIV&_publicaciones_texto=&_publicaciones_id_texto=DSCD-14-PL-17,XIV
