texto_integro,fecha,diario,secc,orga,encabezado,fecha_mensaje,numdoc,mensaje,seri,ndia,subi,url,term
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200805270010.CODI.#1,20080527,/public_oficiales/L9/CONG/DS/PL/PL_010.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 27/05/2008,10,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 10,",Pleno y Diputación Permanente ,10,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200805270010.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200806260020.CODI.#1,20080626,/public_oficiales/L9/CONG/DS/PL/PL_020.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 26/06/2008,20,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 20,",Pleno y Diputación Permanente ,20,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200806260020.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200806100014.CODI.#1,20080610,/public_oficiales/L9/CONG/DS/PL/PL_014.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 10/06/2008,14,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 14,",Pleno y Diputación Permanente ,14,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200806100014.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200806040013.CODI.#1,20080604,/public_oficiales/L9/CONG/DS/PL/PL_013.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 04/06/2008,13,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 13,",Pleno y Diputación Permanente ,13,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200806040013.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200806030012.CODI.#1,20080603,/public_oficiales/L9/CONG/DS/PL/PL_012.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 03/06/2008,12,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 12,",Pleno y Diputación Permanente ,12,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200806030012.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200805280011.CODI.#1,20080528,/public_oficiales/L9/CONG/DS/PL/PL_011.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 28/05/2008,11,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 11,",Pleno y Diputación Permanente ,11,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200805280011.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200805210009.CODI.#1,20080521,/public_oficiales/L9/CONG/DS/PL/PL_009.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 21/05/2008,9,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 9,",Pleno y Diputación Permanente ,9,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200805210009.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDD200806240017.CODI.#1,20080624,/public_oficiales/L9/CONG/DS/PL/PL_017.PDF,CONGRESO DE LOS DIPUTADOS,Diputación Permanente,DS,de 24/06/2008,18,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 17,",Pleno y Diputación Permanente ,17,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDD200806240017.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200805200008.CODI.#1,20080520,/public_oficiales/L9/CONG/DS/PL/PL_008.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 20/05/2008,8,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 8,",Pleno y Diputación Permanente ,8,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200805200008.CODI.#1,IX
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW9&PIECE=PUW9&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200806240018.CODI.#1,20080624,/public_oficiales/L9/CONG/DS/PL/PL_018.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 24/06/2008,17,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 18,",Pleno y Diputación Permanente ,18,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=IX&_publicaciones_texto=&_publicaciones_id_texto=CDP200806240018.CODI.#1,IX
