texto_integro,fecha,diario,secc,orga,encabezado,fecha_mensaje,numdoc,mensaje,seri,ndia,subi,url,term,cve
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-77.CODI.#1,20121129,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-77.PDF,CONGRESO,Pleno,DS,de 29/11/2012,77,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 77,",Pleno y Diputación Permanente ,77,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-77,X,DSCD-10-PL-77
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-61.CODI.#1,20120925,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-61.PDF,CONGRESO,Pleno,DS,de 25/09/2012,61,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 61,",Pleno y Diputación Permanente ,61,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-61,X,DSCD-10-PL-61
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-72.CODI.#1,20121113,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-72.PDF,CONGRESO,Pleno,DS,de 13/11/2012,72,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 72,",Pleno y Diputación Permanente ,72,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-72,X,DSCD-10-PL-72
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-71.CODI.#1,20121112,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-71.PDF,CONGRESO,Pleno,DS,de 12/11/2012,71,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 71,",Pleno y Diputación Permanente ,71,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-71,X,DSCD-10-PL-71
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-70.CODI.#1,20121031,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-70.PDF,CONGRESO,Pleno,DS,de 31/10/2012,70,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 70,",Pleno y Diputación Permanente ,70,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-70,X,DSCD-10-PL-70
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-80.CODI.#1,20121212,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-80.PDF,CONGRESO,Pleno,DS,de 12/12/2012,80,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 80,",Pleno y Diputación Permanente ,80,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-80,X,DSCD-10-PL-80
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-87.CODI.#1,20130130,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-87.PDF,CONGRESO,Pleno,DS,de 30/01/2013,87,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 87,",Pleno y Diputación Permanente ,87,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-87,X,DSCD-10-PL-87
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-98.CODI.#1,20130319,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-98.PDF,CONGRESO,Pleno,DS,de 19/03/2013,98,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 98,",Pleno y Diputación Permanente ,98,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-98,X,DSCD-10-PL-98
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-86.CODI.#1,20130129,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-86.PDF,CONGRESO,Diputación Permanente,DS,de 29/01/2013,86,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 86,",Pleno y Diputación Permanente ,86,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-86,X,DSCD-10-PL-86
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU10&PIECE=PU10&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-10-PL-97.CODI.#1,20130314,/public_oficiales/L10/CONG/DS/PL/DSCD-10-PL-97.PDF,CONGRESO,Pleno,DS,de 14/03/2013,97,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 97,",Pleno y Diputación Permanente ,97,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=X&_publicaciones_texto=&_publicaciones_id_texto=DSCD-10-PL-97,X,DSCD-10-PL-97
