texto_integro,fecha,diario,secc,orga,encabezado,fecha_mensaje,numdoc,mensaje,seri,ndia,subi,url,term
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200005300010.CODI.#1,20000530,/public_oficiales/L7/CONG/DS/PL/PL_010.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 30/05/2000,10,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 10,",Pleno y Diputación Permanente ,10,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200005300010.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200006290020.CODI.#1,20000629,/public_oficiales/L7/CONG/DS/PL/PL_020.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 29/06/2000,20,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 20,",Pleno y Diputación Permanente ,20,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200006290020.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200006200014.CODI.#1,20000620,/public_oficiales/L7/CONG/DS/PL/PL_014.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 20/06/2000,14,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 14,",Pleno y Diputación Permanente ,14,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200006200014.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200006140013.CODI.#1,20000614,/public_oficiales/L7/CONG/DS/PL/PL_013.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 14/06/2000,13,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 13,",Pleno y Diputación Permanente ,13,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200006140013.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200006130012.CODI.#1,20000613,/public_oficiales/L7/CONG/DS/PL/PL_012.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 13/06/2000,12,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 12,",Pleno y Diputación Permanente ,12,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200006130012.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200005310011.CODI.#1,20000531,/public_oficiales/L7/CONG/DS/PL/PL_011.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 31/05/2000,11,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 11,",Pleno y Diputación Permanente ,11,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200005310011.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200005240009.CODI.#1,20000524,/public_oficiales/L7/CONG/DS/PL/PL_009.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 24/05/2000,9,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 9,",Pleno y Diputación Permanente ,9,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200005240009.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200006270018.CODI.#1,20000627,/public_oficiales/L7/CONG/DS/PL/PL_018.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 27/06/2000,18,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 18,",Pleno y Diputación Permanente ,18,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200006270018.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200005230008.CODI.#1,20000523,/public_oficiales/L7/CONG/DS/PL/PL_008.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 23/05/2000,8,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 8,",Pleno y Diputación Permanente ,8,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200005230008.CODI.#1,VII
/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PUW7&PIECE=PUW7&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+CDP200006220017.CODI.#1,20000622,/public_oficiales/L7/CONG/DS/PL/PL_017.PDF,CONGRESO DE LOS DIPUTADOS,Pleno,DS,de 22/06/2000,17,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 17,",Pleno y Diputación Permanente ,17,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=VII&_publicaciones_texto=&_publicaciones_id_texto=CDP200006220017.CODI.#1,VII
