diario,secc,orga,encabezado,fecha_mensaje,numdoc,texto_integro,fecha,cve,mensaje,seri,ndia,subi,url,term
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-10.PDF,CONGRESO,Pleno,DS,de 19/04/2016,10,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-10.CODI.#1,20160419,DSCD-11-PL-10,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 10,",Pleno y Diputación Permanente ,10,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-10,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-14.PDF,CONGRESO,Pleno,DS,de 28/04/2016,14,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-14.CODI.#1,20160428,DSCD-11-PL-14,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 14,",Pleno y Diputación Permanente ,14,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-14,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-13.PDF,CONGRESO,Pleno,DS,de 27/04/2016,13,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-13.CODI.#1,20160427,DSCD-11-PL-13,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 13,",Pleno y Diputación Permanente ,13,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-13,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-12-C1.PDF,CONGRESO,Diputación Permanente,DS,de 20/04/2016,12,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-12-C1 DSCD-11-PL-12.CODI.#1,20160420,DSCD-11-PL-12-C1,"Congreso de los Diputados, Pleno y Dip. Perm., núm.<br/> 12,",Pleno y Diputación Permanente ,12,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-12-C1,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-11.PDF,CONGRESO,Pleno,DS,de 20/04/2016,11,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-11.CODI.#1,20160420,DSCD-11-PL-11,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 11,",Pleno y Diputación Permanente ,11,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-11,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-9.PDF,CONGRESO,Pleno,DS,de 13/04/2016,9,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-9.CODI.#1,20160413,DSCD-11-PL-9,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 9,",Pleno y Diputación Permanente ,9,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-9,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-8.PDF,CONGRESO,Pleno,DS,de 12/04/2016,8,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-8.CODI.#1,20160412,DSCD-11-PL-8,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 8,",Pleno y Diputación Permanente ,8,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-8,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-15.PDF,CONGRESO,Diputación Permanente,DS,de 18/07/2016,15,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-15.CODI.#1,20160718,DSCD-11-PL-15,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 15,",Pleno y Diputación Permanente ,15,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-15,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-5.PDF,CONGRESO,Pleno,DS,de 15/03/2016,5,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-5.CODI.#1,20160315,DSCD-11-PL-5,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 5,",Pleno y Diputación Permanente ,5,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-5,XI
/public_oficiales/L11/CONG/DS/PL/DSCD-11-PL-4.PDF,CONGRESO,Pleno,DS,de 04/03/2016,4,/wc/abrirPopUp?CMD=VERDOC&CONF=BRSPUB.cnf&BASE=PU11&PIECE=PU11&DOCS=1-1&FMT=PUWTXDTS.fmt&OPDEF=Y&QUERY=(D).PUBL.+Y+(Congreso).SECC.+Y+(Pleno-y-Diputacion-Permanente).ORSE.+Y+DSCD-11-PL-4.CODI.#1,20160304,DSCD-11-PL-4,"Congreso de los Diputados, Pleno y Dip. Perm., núm. 4,",Pleno y Diputación Permanente ,4,,https://www.congreso.es/busqueda-de-publicaciones?p_p_id=publicaciones&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_publicaciones_mode=mostrarTextoIntegro&_publicaciones_legislatura=XI&_publicaciones_texto=&_publicaciones_id_texto=DSCD-11-PL-4,XI
